kernel_name,dtype,input_size,runtime_ms,correct,device_name,gws0,gws1,gws2,lws0,lws1,lws2,flops_est,bw_GBps
layernorm_basic,FP32,64,0.204947,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,384,0.00249821
layernorm_basic,FP64,64,0.186827,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,384,0.00548101
layernorm_basic,FP32,128,0.005344,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,768,0.191617
layernorm_basic,FP64,128,0.005046,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,768,0.405866
layernorm_basic,FP32,256,0.004684,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,1536,0.437233
layernorm_basic,FP64,256,0.025814,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,1536,0.158674
activation_relu,FP32,1024,0.218487,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",1024,1,1,256,1,1,1024,0.0374942
activation_relu,FP64,1024,0.190072,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",1024,1,1,256,1,1,1024,0.0861989
activation_relu,FP32,4096,0.038957,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",4096,1,1,256,1,1,4096,0.841133
activation_relu,FP64,4096,0.052287,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",4096,1,1,256,1,1,4096,1.25339
activation_gelu,FP32,1024,0.207781,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",1024,1,1,256,1,1,20480,0.0394261
activation_gelu,FP64,1024,0.231473,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",1024,1,1,256,1,1,20480,0.0707815
activation_gelu,FP32,4096,0.078866,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",4096,1,1,256,1,1,81920,0.41549
activation_gelu,FP64,4096,0.08776,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",4096,1,1,256,1,1,81920,0.746764
bfs_basic,INT,256,0.197176,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,0,0.0415669
bfs_basic,INT,512,0.045974,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",512,1,1,256,1,1,0,0.356462
dfs_basic,INT,256,0.216646,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,0,0.0378313
dfs_basic,INT,512,0.044533,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",512,1,1,256,1,1,0,0.367997
pagerank_basic,FP32,128,0.179829,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,0,0.0227994
pagerank_basic,FP64,128,0.175217,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,0,0.0292437
pagerank_basic,FP32,256,0.006109,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,0,1.34163
pagerank_basic,FP64,256,0.006913,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,0,1.48185
stencil2d_3x3,FP32,32,0.219156,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",32,32,1,16,16,1,9216,0.0373798
stencil2d_3x3,FP64,32,0.206716,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",32,32,1,16,16,1,9216,0.0792585
stencil2d_3x3,FP32,64,0.047875,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",64,64,1,16,16,1,36864,0.684449
stencil2d_3x3,FP64,64,0.058929,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",64,64,1,16,16,1,36864,1.11212
stencil2d_5x5,FP32,32,0.189227,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",32,32,1,16,16,1,25600,0.0432919
stencil2d_5x5,FP64,32,0.180481,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",32,32,1,16,16,1,25600,0.0907796
stencil2d_5x5,FP32,64,0.05805,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",64,64,1,16,16,1,102400,0.564479
stencil2d_5x5,FP64,64,0.070532,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",64,64,1,16,16,1,102400,0.929167
stencil3d_global,FP32,16,0.187951,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",16,16,16,8,8,2,110592,0.174343
stencil3d_global,FP64,16,0.204523,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",16,16,16,8,8,2,110592,0.320433
stencil3d_global,FP32,32,0.083024,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",32,32,32,8,8,2,884736,3.15745
stencil3d_global,FP64,32,0.085834,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",32,32,32,8,8,2,884736,6.10816
stencil3d_shared,FP32,16,0.229086,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",16,16,16,8,8,2,110592,0.143038
stencil3d_shared,FP64,16,0.209384,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",16,16,16,8,8,2,110592,0.312994
stencil3d_shared,FP32,32,0.116849,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",32,32,32,8,8,2,884736,2.24344
stencil3d_shared,FP64,32,0.100172,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",32,32,32,8,8,2,884736,5.23388
histogram_global,INT,1024,0.173301,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",1024,1,1,256,1,1,0,0.029544
histogram_global,INT,4096,0.081807,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",4096,1,1,256,1,1,0,0.212794
histogram_shared,INT,1024,0.23194,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",1024,1,1,256,1,1,0,0.0220747
histogram_shared,INT,4096,0.072512,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",4096,1,1,256,1,1,0,0.240071
sort_bitonic,INT,256,0.471894,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",128,1,1,128,1,1,0,0.00216998
sort_bitonic,INT,1024,0.715137,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",512,1,1,128,1,1,0,0.00572757
montecarlo_basic,FP32,1024,0.191831,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",1024,1,1,256,1,1,4096,0.0640564
montecarlo_basic,FP64,1024,0.211787,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",1024,1,1,256,1,1,4096,0.0967009
montecarlo_basic,FP32,4096,0.054438,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",4096,1,1,256,1,1,16384,0.902899
montecarlo_basic,FP64,4096,0.057234,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",4096,1,1,256,1,1,16384,1.43132
fft1d_global,FP32,256,0.233761,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,10240,0.0175222
fft1d_global,FP64,256,0.260409,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,10240,0.0314582
fft1d_global,FP32,1024,0.401136,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",1024,1,1,256,1,1,51200,0.040844
fft1d_global,FP64,1024,0.4281,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",1024,1,1,256,1,1,51200,0.0765429
fft1d_global,FP32,4096,0.640061,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",4096,1,1,256,1,1,245760,0.10239
fft1d_global,FP64,4096,0.86006,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",4096,1,1,256,1,1,245760,0.152399
fft1d_staged,FP32,256,0.319561,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,10240,0.0128176
fft1d_staged,FP64,256,0.29167,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,10240,0.0280865
fft1d_staged,FP32,1024,0.390643,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",1024,1,1,256,1,1,51200,0.0419411
fft1d_staged,FP64,1024,0.412442,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",1024,1,1,256,1,1,51200,0.0794487
fft1d_staged,FP32,4096,1.35208,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",4096,1,1,256,1,1,245760,0.0484706
fft1d_staged,FP64,4096,1.03213,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",4096,1,1,256,1,1,245760,0.126992
