kernel_name,dtype,input_size,runtime_ms,correct,device_name,gws0,gws1,gws2,lws0,lws1,lws2,flops_est,bw_GBps
depthwiseconv_tiled,FP32,64,0.252483,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",64,64,32,8,8,1,2.3593e+06,4.15762
depthwiseconv_tiled,FP64,64,0.293183,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",64,64,32,8,8,1,2.3593e+06,7.16091
softmax_basic,FP32,64,0.170572,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,256,0.00300166
softmax_basic,FP64,64,0.16468,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,256,0.00621812
softmax_basic,FP32,128,0.005606,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,512,0.182661
softmax_basic,FP64,128,0.026576,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,512,0.077062
softmax_basic,FP32,256,0.007441,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,1024,0.275232
softmax_basic,FP64,256,0.007104,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,1024,0.576577
layernorm_basic,FP32,64,0.170631,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,384,0.00300063
layernorm_basic,FP64,64,0.146816,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,384,0.00697472
layernorm_basic,FP32,128,0.005267,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,768,0.194418
layernorm_basic,FP64,128,0.004845,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,768,0.422704
layernorm_basic,FP32,256,0.009983,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,1536,0.205149
layernorm_basic,FP64,256,0.00561,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,1536,0.730125
activation_relu,FP32,1024,0.108219,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",1024,1,1,256,1,1,1024,0.0756984
activation_relu,FP64,1024,0.087169,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",1024,1,1,256,1,1,1024,0.187957
activation_relu,FP32,4096,0.043015,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",4096,1,1,256,1,1,4096,0.761781
activation_relu,FP64,4096,0.046691,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",4096,1,1,256,1,1,4096,1.40361
activation_gelu,FP32,1024,0.102302,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",1024,1,1,256,1,1,20480,0.0800766
activation_gelu,FP64,1024,0.18657,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",1024,1,1,256,1,1,20480,0.0878169
activation_gelu,FP32,4096,0.076361,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",4096,1,1,256,1,1,81920,0.42912
activation_gelu,FP64,4096,0.104142,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",4096,1,1,256,1,1,81920,0.629295
bfs_basic,INT32,256,0.139824,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,0,0.0586165
bfs_basic,INT32,512,0.051544,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",512,1,1,256,1,1,0,0.317942
dfs_basic,INT32,256,0.122308,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,0,0.0670112
dfs_basic,INT32,512,0.040079,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",512,1,1,256,1,1,0,0.408892
pagerank_basic,FP32,128,0.111465,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,0,0.0367828
pagerank_basic,FP64,128,0.157752,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,0,0.0324814
pagerank_basic,FP32,256,0.006639,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,0,1.23452
pagerank_basic,FP64,256,0.006836,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,0,1.49854
stencil2d_3x3,FP32,32,0.119987,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",32,32,1,16,16,1,9216,0.0682741
stencil2d_3x3,FP64,32,0.10925,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",32,32,1,16,16,1,9216,0.149968
stencil2d_3x3,FP32,64,0.049998,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",64,64,1,16,16,1,36864,0.655386
stencil2d_3x3,FP64,64,0.057393,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",64,64,1,16,16,1,36864,1.14188
stencil2d_5x5,FP32,32,0.132493,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",32,32,1,16,16,1,25600,0.0618297
